,supply,return
2018-01-09T07:30:00Z,"107.829117,","95.66311,"
2018-01-09T08:00:00Z,"107.089668,","95.36742,"
2018-01-09T08:30:00Z,"96.9368057,","94.31242,"
2018-01-09T09:00:00Z,"98.74365,","94.61099,"
2018-01-09T09:30:00Z,"100.519867,","96.64398,"
2018-01-09T10:00:00Z,"111.299385,","96.95324,"
2018-01-09T10:30:00Z,"110.530762,","96.57707,"
2018-01-09T11:00:00Z,"102.51046,","95.36726,"
2018-01-09T11:30:00Z,"98.42699,","94.8229,"
2018-01-09T12:00:00Z,"132.325134,","96.00077,"
2018-01-09T12:30:00Z,"141.3825,","122.669662,"
2018-01-09T13:00:00Z,"137.429169,","121.884842,"
2018-01-09T13:30:00Z,"146.13623,","127.389236,"
2018-01-09T14:00:00Z,"118.306335,","117.040596,"
2018-01-09T14:30:00Z,"113.461143,","96.59886,"
2018-01-09T15:00:00Z,"127.241211,","97.7865753,"
2018-01-09T15:30:00Z,"101.314308,","99.766304,"
2018-01-09T16:00:00Z,"109.91851,","98.73426,"
2018-01-09T16:30:00Z,"107.140785,","97.6930161,"
2018-01-09T17:00:00Z,"99.8887558,","96.21921,"
2018-01-09T17:30:00Z,"101.0334,","96.9367,"
2018-01-09T18:00:00Z,"111.473167,","97.59518,"
2018-01-09T18:30:00Z,"109.976212,","97.16729,"
2018-01-09T19:00:00Z,"97.6028442,","94.51043,"
2018-01-09T19:30:00Z,"97.59211,","94.34048,"
2018-01-09T20:00:00Z,"100.062035,","94.28928,"
2018-01-09T20:30:00Z,"94.98871,","92.33252,"
2018-01-09T21:00:00Z,"97.0950851,","93.58872,"
2018-01-09T21:30:00Z,"106.251526,","95.83147,"
2018-01-09T22:00:00Z,"107.038368,","95.61911,"
2018-01-09T22:30:00Z,"121.939224,","112.290833,"
2018-01-09T23:00:00Z,"111.776375,","94.7983246,"
2018-01-09T23:30:00Z,"110.526794,","97.6783,"
2018-01-10T00:00:00Z,"112.251091,","111.329636,"
2018-01-10T00:30:00Z,"106.345184,","98.6631851,"
2018-01-10T01:00:00Z,"96.2385254,","100.3713,"
2018-01-10T01:30:00Z,"90.80235,","89.43435,"
2018-01-10T02:00:00Z,"88.74797,","85.4319839,"
2018-01-10T02:30:00Z,"98.02206,","89.20719,"
2018-01-10T03:00:00Z,"108.291153,","90.66077,"
2018-01-10T03:30:00Z,"109.040115,","91.73125,"
2018-01-10T04:00:00Z,"108.133018,","93.04167,"
2018-01-10T04:30:00Z,"108.010864,","93.8051453,"
2018-01-10T05:00:00Z,"106.41259,","93.6643448,"
2018-01-10T05:30:00Z,"104.8216,","93.3588,"
2018-01-10T06:00:00Z,"104.677269,","93.0272751,"
2018-01-10T06:30:00Z,"108.903763,","94.15073,"
2018-01-10T07:00:00Z,"111.207352,","95.1512451,"
2018-01-10T07:30:00Z,"112.265656,","96.36097,"
2018-01-10T08:00:00Z,"110.866737,","96.95115,"
2018-01-10T08:30:00Z,"110.787872,","96.7349854,"
2018-01-10T09:00:00Z,"107.858383,","96.66314,"
2018-01-10T09:30:00Z,"108.887535,","96.49034,"
2018-01-10T10:00:00Z,"107.4641,","96.12479,"
2018-01-10T10:30:00Z,"101.494,","96.151825,"
2018-01-10T11:00:00Z,"100.319328,","96.49031,"
