DT,HDD,CDD
2018-01-06T04:30:00Z,"14.1599417,",0
2018-01-06T05:00:00Z,"93.2497559,",0
2018-01-06T05:30:00Z,"98.51358,",0
2018-01-06T06:00:00Z,"10.81186,",0
2018-01-06T06:30:00Z,"1.30735457,",0
2018-01-06T07:00:00Z,"57.8357773,",0
2018-01-06T07:30:00Z,"101.578781,",0
2018-01-06T08:00:00Z,"69.39254,",0
2018-01-06T08:30:00Z,"2.67262816,",0
2018-01-06T09:00:00Z,"5.59688044,",0
2018-01-06T09:30:00Z,"71.74739,",0
2018-01-06T10:00:00Z,"99.3258743,",0
2018-01-06T10:30:00Z,"25.1642437,",0
2018-01-06T11:00:00Z,"-1.63736808,",0
2018-01-06T11:30:00Z,"8.424551,",0
2018-01-06T12:00:00Z,"80.04648,",0
2018-01-06T12:30:00Z,"93.91543,",0
2018-01-06T13:00:00Z,"39.6798134,",0
2018-01-06T13:30:00Z,"56.05311,",0
2018-01-06T14:00:00Z,"75.16474,",0
2018-01-06T14:30:00Z,"13.7858315,",0
2018-01-06T15:00:00Z,"89.7845459,",0
2018-01-06T15:30:00Z,"-11.2036943,",0
2018-01-06T16:00:00Z,"143.922791,",0
2018-01-06T16:30:00Z,"-4.20507145,",0
2018-01-06T17:00:00Z,"98.5817642,",0
2018-01-06T17:30:00Z,"53.8884735,",0
2018-01-06T18:00:00Z,"9.739415,",0
2018-01-06T18:30:00Z,"117.750816,",0
2018-01-06T19:00:00Z,"-11.622714,",0
2018-01-06T19:30:00Z,"81.50033,",0
2018-01-06T20:00:00Z,"56.339283,",0
2018-01-06T20:30:00Z,"16.6757088,",0
2018-01-06T21:00:00Z,"123.306892,",0
2018-01-06T21:30:00Z,"-13.5928154,",0
2018-01-06T22:00:00Z,"107.138306,",0
2018-01-06T22:30:00Z,"27.826107,",0
2018-01-06T23:00:00Z,"23.0749073,",0
2018-01-06T23:30:00Z,"107.290009,",0
2018-01-07T00:00:00Z,"0.141126961,",0
2018-01-07T00:30:00Z,"77.37409,",0
2018-01-07T01:00:00Z,"49.3405762,",0
2018-01-07T01:30:00Z,"66.6969757,",0
2018-01-07T02:00:00Z,"90.02617,",0
2018-01-07T02:30:00Z,"51.51028,",0
2018-01-07T03:00:00Z,"1.80825925,",0
2018-01-07T03:30:00Z,"10.3306446,",0
2018-01-07T04:00:00Z,"96.13527,",0
2018-01-07T04:30:00Z,"47.4931946,",0
2018-01-07T05:00:00Z,"-0.5138692,",0
2018-01-07T05:30:00Z,"31.2031918,",0
2018-01-07T06:00:00Z,"95.15975,",0
2018-01-07T06:30:00Z,"36.9824333,",0
2018-01-07T07:00:00Z,"-0.5572545,",0
2018-01-07T07:30:00Z,"21.1829185,",0
2018-01-07T08:00:00Z,"93.5375,",0
2018-01-07T08:30:00Z,"91.39172,",0
2018-01-07T09:00:00Z,"8.439404,",0
2018-01-07T09:30:00Z,"4.99025774,",0
2018-01-07T10:00:00Z,"69.932724,",0
2018-01-07T10:30:00Z,"90.85937,",0
2018-01-07T11:00:00Z,"39.230114,",0
2018-01-07T11:30:00Z,"1.14385307,",0
2018-01-07T12:00:00Z,"27.9728718,",0
2018-01-07T12:30:00Z,"96.976265,",0
2018-01-07T13:00:00Z,"135.819138,",0
2018-01-07T13:30:00Z,"89.81765,",0
2018-01-07T14:00:00Z,"2.35925484,",0
2018-01-07T14:30:00Z,"129.582581,",0
2018-01-07T15:00:00Z,"-13.0896378,",0
2018-01-07T15:30:00Z,"120.074585,",0
2018-01-07T16:00:00Z,"20.4479141,",0
2018-01-07T16:30:00Z,"11.68526,",0
2018-01-07T17:00:00Z,"109.251587,",0
2018-01-07T17:30:00Z,"7.97853565,",0
2018-01-07T18:00:00Z,"78.19896,",0
2018-01-07T18:30:00Z,"46.78414,",0
2018-01-07T19:00:00Z,"55.6127243,",0
2018-01-07T19:30:00Z,"36.8307571,",0
2018-01-07T20:00:00Z,"41.1515923,",0
2018-01-07T20:30:00Z,"54.8436928,",0
2018-01-07T21:00:00Z,"39.60202,",0
2018-01-07T21:30:00Z,"31.496109,",0
2018-01-07T22:00:00Z,"34.64698,",0
2018-01-07T22:30:00Z,"6.17497444,",0
2018-01-07T23:00:00Z,"47.8555565,",0
2018-01-07T23:30:00Z,"58.6257248,",0
2018-01-08T00:00:00Z,"4.579325,",0
2018-01-08T00:30:00Z,"3.54903269,",0
2018-01-08T01:00:00Z,"25.3000546,",0
2018-01-08T01:30:00Z,"48.5130463,",0
2018-01-08T02:00:00Z,"44.6571732,",0
2018-01-08T02:30:00Z,"12.1074505,",0
2018-01-08T03:00:00Z,"35.9462852,",0
2018-01-08T03:30:00Z,"18.9931812,",0
2018-01-08T04:00:00Z,"20.0282669,",0
2018-01-08T04:30:00Z,"49.211586,",0
2018-01-08T05:00:00Z,"11.8590031,",0
2018-01-08T05:30:00Z,"17.9617443,",0
2018-01-08T06:00:00Z,"23.7889538,",0
2018-01-08T06:30:00Z,"30.2670765,",0
2018-01-08T07:00:00Z,"32.3898735,",0
2018-01-08T07:30:00Z,"37.6652336,",0
2018-01-08T08:00:00Z,"26.7310276,",0
2018-01-08T08:30:00Z,"18.2850285,",0
2018-01-08T09:00:00Z,"27.6541119,",0
2018-01-08T09:30:00Z,"22.5607681,",0
2018-01-08T10:00:00Z,"30.573801,",0
2018-01-08T10:30:00Z,"33.18651,",0
2018-01-08T11:00:00Z,"25.2825642,",0
2018-01-08T11:30:00Z,"32.2272835,",0
2018-01-08T12:00:00Z,"123.590675,",0
2018-01-08T12:30:00Z,"46.22391,",0
2018-01-08T13:00:00Z,"68.73385,",0
2018-01-08T13:30:00Z,"69.18962,",0
2018-01-08T14:00:00Z,"43.01949,",0
2018-01-08T14:30:00Z,"44.88999,",0
2018-01-08T15:00:00Z,"37.0251923,",0
2018-01-08T15:30:00Z,"2.38984251,",0
2018-01-08T16:00:00Z,"106.473938,",0
2018-01-08T16:30:00Z,"13.9993515,",0
2018-01-08T17:00:00Z,"43.9625435,",0
2018-01-08T17:30:00Z,"43.82164,",0
2018-01-08T18:00:00Z,"49.99336,",0
2018-01-08T18:30:00Z,"18.29188,",0
2018-01-08T19:00:00Z,"19.1256332,",0
2018-01-08T19:30:00Z,"78.0034561,",0
2018-01-08T20:00:00Z,"5.098134,",0
2018-01-08T20:30:00Z,"76.16284,",0
2018-01-08T21:00:00Z,"4.52108765,",0
2018-01-08T21:30:00Z,"106.412476,",0
2018-01-08T22:00:00Z,"5.771065,",0
2018-01-08T22:30:00Z,"27.7861443,",0
2018-01-08T23:00:00Z,"5.568202,",0
2018-01-08T23:30:00Z,"29.220089,",0
2018-01-09T00:00:00Z,"-0.141418889,",0
2018-01-09T00:30:00Z,"43.1331863,",0
2018-01-09T01:00:00Z,"8.688568,",0
2018-01-09T01:30:00Z,"4.01618671,",0
2018-01-09T02:00:00Z,"8.213184,",0
2018-01-09T02:30:00Z,"9.990742,",0
2018-01-09T03:00:00Z,"10.0685339,",0
2018-01-09T03:30:00Z,"10.3303032,",0
2018-01-09T04:00:00Z,"9.742143,",0
2018-01-09T04:30:00Z,"9.618634,",0
2018-01-09T05:00:00Z,"11.3918285,",0
2018-01-09T05:30:00Z,"10.8104525,",0
2018-01-09T06:00:00Z,"10.314105,",0
2018-01-09T06:30:00Z,"10.8132486,",0
2018-01-09T07:00:00Z,"32.8414764,",0
2018-01-09T07:30:00Z,"33.6959839,",0
2018-01-09T08:00:00Z,"33.1932869,",0
2018-01-09T08:30:00Z,"7.41560555,",0
2018-01-09T09:00:00Z,"11.3440123,",0
2018-01-09T09:30:00Z,"10.7870073,",0
2018-01-09T10:00:00Z,"39.6157265,",0
2018-01-09T10:30:00Z,"39.5372238,",0
2018-01-09T11:00:00Z,"20.1559219,",0
2018-01-09T11:30:00Z,"10.2058477,",0
2018-01-09T12:00:00Z,"109.942635,",0
2018-01-09T12:30:00Z,"80.5389938,",0
2018-01-09T13:00:00Z,"46.6723633,",0
2018-01-09T13:30:00Z,"64.0233,",0
2018-01-09T14:00:00Z,"3.30934143,",0
2018-01-09T14:30:00Z,"47.5706444,",0
2018-01-09T15:00:00Z,"90.4030457,",0
2018-01-09T15:30:00Z,"4.2213583,",0
2018-01-09T16:00:00Z,"31.5418644,",0
2018-01-09T16:30:00Z,"26.6757317,",0
2018-01-09T17:00:00Z,"10.5214205,",0
2018-01-09T17:30:00Z,"11.2946529,",0
2018-01-09T18:00:00Z,"38.2301941,",0
2018-01-09T18:30:00Z,"36.27746,",0
2018-01-09T19:00:00Z,"8.917433,",0
2018-01-09T19:30:00Z,"9.04820251,",0
2018-01-09T20:00:00Z,"16.0956726,",0
2018-01-09T20:30:00Z,"7.451267,",0
2018-01-09T21:00:00Z,"9.743274,",0
2018-01-09T21:30:00Z,"28.7575073,",0
2018-01-09T22:00:00Z,"31.9585934,",0
2018-01-09T22:30:00Z,"26.9862537,",0
2018-01-09T23:00:00Z,"47.72131,",0
2018-01-09T23:30:00Z,"36.0669365,",0
2018-01-10T00:00:00Z,"2.84993029,",0
2018-01-10T00:30:00Z,"21.26863,",0
2018-01-10T01:00:00Z,"-11.5843267,",0
2018-01-10T01:30:00Z,"3.72782063,",0
2018-01-10T02:00:00Z,"9.257786,",0
2018-01-10T02:30:00Z,"24.2643967,",0
2018-01-10T03:00:00Z,"49.3525047,",0
2018-01-10T03:30:00Z,"48.15969,",0
2018-01-10T04:00:00Z,"42.2513123,",0
2018-01-10T04:30:00Z,"40.11834,",0
2018-01-10T05:00:00Z,"35.9832535,",0
2018-01-10T05:30:00Z,"31.9355373,",0
2018-01-10T06:00:00Z,"32.959198,",0
2018-01-10T06:30:00Z,"41.62664,",0
2018-01-10T07:00:00Z,"45.301075,",0
2018-01-10T07:30:00Z,"43.8263359,",0
2018-01-10T08:00:00Z,"38.539032,",0
2018-01-10T08:30:00Z,"38.8432236,",0
2018-01-10T09:00:00Z,"30.99343,",0
2018-01-10T09:30:00Z,"34.2836761,",0
2018-01-10T10:00:00Z,"31.48996,",0
2018-01-10T10:30:00Z,"14.9194241,",0
2018-01-10T11:00:00Z,"10.6916332,",0
2018-01-10T11:30:00Z,"13.9191446,",0
2018-01-10T12:00:00Z,"163.978012,",0
2018-01-10T12:30:00Z,"52.43212,",0
2018-01-10T13:00:00Z,"66.47624,",0
2018-01-10T13:30:00Z,"51.12894,",0
2018-01-10T14:00:00Z,"48.03529,",0
2018-01-10T14:30:00Z,"30.1164989,",0
2018-01-10T15:00:00Z,"21.311018,",0
2018-01-10T15:30:00Z,"40.00644,",0
2018-01-10T16:00:00Z,"10.4500885,",0
2018-01-10T16:30:00Z,"16.0873,",0
2018-01-10T17:00:00Z,"6.976854,",0
2018-01-10T17:30:00Z,"33.5440331,",0
2018-01-10T18:00:00Z,"11.2495022,",0
2018-01-10T18:30:00Z,"6.62756968,",0
2018-01-10T19:00:00Z,"21.9752789,",0
2018-01-10T19:30:00Z,"16.68022,",0
2018-01-10T20:00:00Z,"7.82442,",0
2018-01-10T20:30:00Z,"10.226655,",0
2018-01-10T21:00:00Z,"31.1558285,",0
2018-01-10T21:30:00Z,"17.8925133,",0
2018-01-10T22:00:00Z,"8.385329,",0
2018-01-10T22:30:00Z,"4.57552576,",0
2018-01-10T23:00:00Z,"56.13709,",0
2018-01-10T23:30:00Z,"4.47365,",0
2018-01-11T00:00:00Z,"19.7698536,",0
2018-01-11T00:30:00Z,"19.7324677,",0
2018-01-11T01:00:00Z,"7.315315,",0
2018-01-11T01:30:00Z,"12.2003517,",0
2018-01-11T02:00:00Z,"7.5198946,",0
2018-01-11T02:30:00Z,"23.6392231,",0
2018-01-11T03:00:00Z,"9.333752,",0
2018-01-11T03:30:00Z,"10.07029,",0
2018-01-11T04:00:00Z,"24.55957,",0
2018-01-11T04:30:00Z,"7.03627062,",0
2018-01-11T05:00:00Z,"28.0787182,",0
2018-01-11T05:30:00Z,"6.458725,",0
2018-01-11T06:00:00Z,"34.38819,",0
2018-01-11T06:30:00Z,"7.54861736,",0
2018-01-11T07:00:00Z,"38.27549,",0
2018-01-11T07:30:00Z,"7.6377697,",0
2018-01-11T08:00:00Z,"38.4546776,",0
2018-01-11T08:30:00Z,"7.90523434,",0
2018-01-11T09:00:00Z,"36.0399933,",0
2018-01-11T09:30:00Z,"8.461145,",0
2018-01-11T10:00:00Z,"39.4189262,",0
2018-01-11T10:30:00Z,"8.678872,",0
2018-01-11T11:00:00Z,"35.64109,",0
2018-01-11T11:30:00Z,"9.585898,",0
2018-01-11T12:00:00Z,"156.823669,",0
2018-01-11T12:30:00Z,"73.13119,",0
2018-01-11T13:00:00Z,"5.932836,",0
2018-01-11T13:30:00Z,"3.75758243,",0
2018-01-11T14:00:00Z,"19.0878963,",0
2018-01-11T14:30:00Z,"6.62299,",0
2018-01-11T15:00:00Z,"5.19392347,",0
2018-01-11T15:30:00Z,"3.44174933,",0
2018-01-11T16:00:00Z,"2.47984529,",0
2018-01-11T16:30:00Z,"2.28357458,",0
2018-01-11T17:00:00Z,"1.79920125,",0
2018-01-11T17:30:00Z,"1.79944122,",0
2018-01-11T18:00:00Z,"1.961929,",0
2018-01-11T18:30:00Z,"1.78658593,",0
2018-01-11T19:00:00Z,"1.86510694,",0
2018-01-11T19:30:00Z,"1.86095417,",0
2018-01-11T20:00:00Z,"2.057294,",0
2018-01-11T20:30:00Z,"1.86631608,",0
2018-01-11T21:00:00Z,"2.06277442,",0
2018-01-11T21:30:00Z,"1.97194159,",0
2018-01-11T22:00:00Z,"1.868097,",0
2018-01-11T22:30:00Z,"1.97330928,",0
2018-01-11T23:00:00Z,"1.96892059,",0
2018-01-11T23:30:00Z,"2.06638336,",0
2018-01-12T00:00:00Z,"1.96880412,",0
2018-01-12T00:30:00Z,"2.1742816,",0
2018-01-12T01:00:00Z,"1.9758966,",0
2018-01-12T01:30:00Z,"1.63037014,",0
2018-01-12T02:00:00Z,"2.72580147,",0
2018-01-12T02:30:00Z,"2.565185,",0
2018-01-12T03:00:00Z,"2.57032633,",0
2018-01-12T03:30:00Z,"2.13598824,",0
2018-01-12T04:00:00Z,"2.39711142,",0
2018-01-12T04:30:00Z,"2.12743735,",0
2018-01-12T05:00:00Z,"2.043598,",0
2018-01-12T05:30:00Z,"2.30076742,",0
2018-01-12T06:00:00Z,"2.13699484,",0
2018-01-12T06:30:00Z,"2.21061373,",0
2018-01-12T07:00:00Z,"2.126951,",0
2018-01-12T07:30:00Z,"2.133628,",0
2018-01-12T08:00:00Z,"2.12644839,",0
2018-01-12T08:30:00Z,"2.04303145,",0
2018-01-12T09:00:00Z,"2.0448637,",0
